# y-coordinates
6.2945e-05,0.000141772,0.000240454,0.000363936,0.000518364,0.000711358,0.000952338,0.00125291,0.00162728,0.00209281,0.00267044,0.00338531,0.00426716,0.00535065,0.00667534,0.00828527,0.0102276,0.0125505,0.0152996,0.0185128,0.0222144,0.0264081,0.0310706,0.0361467,0.0415483,0.0471588,0.0528412,0.0584517,0.0638533,0.0689294,0.0735919,0.0777856,0.0814872,0.0847004,0.0874495,0.0897724,0.0917147,0.0933247,0.0946494,0.0957328,0.0966147,0.0973296,0.0979072,0.0983727,0.0987471,0.0990477,0.0992886,0.0994816,0.0996361,0.0997595,0.0998582,
# time, u-field
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.01,9.97856e-06,3.24819e-05,6.06132e-05,9.57515e-05,0.000139598,0.00019424,0.000262228,0.000346654,0.000451231,0.000580365,0.000739204,0.000933635,0.00117019,0.00145585,0.00179756,0.0022016,0.00267248,0.0032115,0.00381496,0.00447217,0.00516365,0.00586017,0.00652323,0.00710782,0.00756748,0.00786125,0.00796083,0.00785615,0.00755741,0.00709301,0.00650403,0.00583697,0.00513688,0.00444227,0.00378237,0.00317662,0.00263568,0.0021632,0.00175783,0.00141503,0.00112849,0.000891205,0.000696191,0.000536881,0.000407367,0.000302486,0.000217815,0.000149631,9.48317e-05,5.08601e-05,1.56215e-05,
0.02,1.99571e-05,6.49637e-05,0.000121226,0.000191503,0.000279195,0.000388479,0.000524456,0.000693307,0.000902461,0.00116073,0.00147841,0.00186727,0.00234038,0.00291169,0.00359512,0.0044032,0.00534495,0.00642299,0.0076299,0.00894432,0.0103273,0.0117203,0.0130464,0.0142156,0.0151349,0.0157225,0.0159216,0.0157123,0.0151148,0.014186,0.013008,0.0116739,0.0102737,0.00888453,0.00756473,0.00635324,0.00527135,0.00432639,0.00351565,0.00283005,0.00225697,0.00178241,0.00139238,0.00107376,0.000814734,0.000604971,0.00043563,0.000299261,0.000189663,0.00010172,3.12429e-05,
0.03,2.99356e-05,9.74454e-05,0.000181839,0.000287253,0.000418791,0.000582717,0.000786682,0.00103996,0.00135369,0.00174109,0.00221761,0.00280089,0.00351057,0.00436753,0.00539267,0.00660479,0.00801741,0.00963446,0.0114448,0.0134164,0.0154909,0.0175805,0.0195696,0.0213234,0.0227024,0.0235837,0.0238824,0.0235684,0.0226722,0.021279,0.019512,0.0175108,0.0154106,0.0133268,0.0113471,0.00952983,0.00790701,0.00648957,0.00527347,0.00424507,0.00338545,0.00267361,0.00208857,0.00161064,0.0012221,0.000907454,0.000653443,0.000448891,0.000284494,0.00015258,4.68643e-05,
0.04,3.9914e-05,0.000129927,0.000242451,0.000383004,0.000558387,0.000776954,0.00104891,0.00138661,0.00180491,0.00232145,0.0029568,0.00373451,0.00468075,0.00582335,0.0071902,0.00880636,0.0106899,0.0128459,0.0152597,0.0178885,0.0206545,0.0234405,0.0260928,0.0284311,0.0302697,0.0314448,0.0318431,0.0314244,0.0302294,0.0283719,0.0260159,0.0233477,0.0205474,0.017769,0.0151294,0.0127064,0.0105426,0.00865273,0.00703127,0.00566007,0.00451391,0.0035648,0.00278475,0.00214751,0.00162946,0.00120994,0.000871255,0.000598519,0.000379324,0.000203439,6.24855e-05,
0.05,4.98923e-05,0.000162408,0.000303063,0.000478753,0.000697981,0.000971189,0.00131113,0.00173325,0.00225613,0.0029018,0.00369598,0.00466813,0.00585091,0.00727916,0.00898772,0.0110079,0.0133623,0.0160573,0.0190746,0.0223606,0.025818,0.0293006,0.0326158,0.0355387,0.037837,0.0393059,0.0398038,0.0392804,0.0377867,0.0354647,0.0325198,0.0291845,0.0256841,0.0222111,0.0189117,0.0158829,0.0131783,0.0108159,0.00878906,0.00707506,0.00564237,0.00445598,0.00348092,0.00268438,0.00203682,0.00151241,0.00108906,0.000748146,0.000474153,0.000254298,7.81066e-05,
0.06,5.98705e-05,0.000194889,0.000363674,0.0005745,0.000837573,0.00116542,0.00157335,0.00207989,0.00270735,0.00348214,0.00443516,0.00560172,0.00702106,0.00873495,0.0107852,0.0132094,0.0160346,0.0192687,0.0228894,0.0268326,0.0309815,0.0351605,0.0391388,0.0426463,0.0454042,0.0471668,0.0477643,0.0471362,0.0453438,0.0425574,0.0390236,0.0350213,0.0308208,0.0266532,0.0226939,0.0190595,0.0158138,0.012979,0.0105468,0.00849003,0.00677081,0.00534715,0.00417709,0.00322124,0.00244417,0.00181489,0.00130687,0.000897771,0.000568982,0.000305156,9.37275e-05,
0.07,6.98485e-05,0.000227369,0.000424284,0.000670247,0.000977163,0.00135965,0.00183556,0.00242653,0.00315855,0.00406247,0.00517432,0.00653531,0.00819119,0.0101907,0.0125827,0.0154109,0.018707,0.02248,0.0267042,0.0313045,0.0361448,0.0410204,0.0456617,0.0497537,0.0529713,0.0550276,0.0557247,0.0549919,0.0529008,0.0496501,0.0455273,0.0408579,0.0359574,0.0310953,0.0264761,0.0222359,0.0184494,0.0151421,0.0123046,0.00990499,0.00789924,0.00623831,0.00487324,0.00375809,0.00285151,0.00211736,0.00152468,0.00104739,0.000663808,0.000356013,0.000109348,
0.08,7.98264e-05,0.000259848,0.000484893,0.000765991,0.00111675,0.00155388,0.00209777,0.00277316,0.00360975,0.0046428,0.00591348,0.00746888,0.0093613,0.0116465,0.0143801,0.0176124,0.0213793,0.0256913,0.0305188,0.0357764,0.0413081,0.0468801,0.0521845,0.056861,0.0605383,0.0628883,0.063685,0.0628475,0.0604577,0.0567426,0.0520308,0.0466945,0.041094,0.0355372,0.0302582,0.0254123,0.0210849,0.0173051,0.0140623,0.0113199,0.00902764,0.00712945,0.00556938,0.00429493,0.00325885,0.00241982,0.00174247,0.00119701,0.000758633,0.00040687,0.000124968,
0.09,8.9804e-05,0.000292327,0.0005455,0.000861734,0.00125634,0.0017481,0.00235997,0.00311978,0.00406094,0.00522311,0.00665261,0.00840243,0.0105314,0.0131022,0.0161775,0.0198138,0.0240515,0.0289025,0.0343335,0.0402481,0.0464713,0.0527398,0.0587071,0.0639682,0.068105,0.0707489,0.0716451,0.070703,0.0680144,0.063835,0.0585343,0.0525309,0.0462304,0.0399791,0.0340402,0.0285886,0.0237203,0.0194681,0.0158199,0.0127348,0.010156,0.00802058,0.00626551,0.00483177,0.00366618,0.00272228,0.00196027,0.00134663,0.000853456,0.000457725,0.000140589,
