# y-coordinates
1.50923e-05,3.10987e-05,4.80742e-05,6.60771e-05,8.51693e-05,0.000105416,0.000126887,0.000149655,0.000173799,0.0001994,0.000226545,0.000255328,0.000285845,0.0003182,0.000352502,0.000388868,0.000427419,0.000468286,0.000511604,0.000557519,0.000606184,0.00065776,0.000712419,0.000770341,0.000831717,0.000896747,0.000965644,0.00103863,0.00111595,0.00119784,0.00128457,0.00137642,0.00147367,0.00157664,0.00168564,0.00180102,0.00192313,0.00205234,0.00218906,0.00233368,0.00248664,0.0026484,0.00281942,0.0030002,0.00319126,0.00339314,0.00360639,0.0038316,0.00406939,0.00432037,0.00458521,0.00486459,0.0051592,0.00546976,0.00579703,0.00614176,0.00650475,0.0068868,0.00728872,0.00771134,0.00815553,0.00862212,0.00911199,0.00962599,0.010165,0.0107299,0.0113214,0.0119405,0.012588,0.0132645,0.013971,0.014708,0.0154763,0.0162764,0.0171089,0.0179742,0.0188728,0.0198048,0.0207706,0.0217701,0.0228034,0.0238702,0.0249704,0.0261034,0.0272687,0.0284656,0.0296932,0.0309505,0.0322363,0.0335492,0.0348877,0.0362503,0.0376351,0.0390401,0.0404634,0.0419027,0.0433558,0.0448203,0.0462938,0.0477737,0.0492575,0.0507425,0.0522263,0.0537062,0.0551797,0.0566442,0.0580973,0.0595366,0.0609599,0.0623649,0.0637497,0.0651123,0.0664508,0.0677637,0.0690495,0.0703068,0.0715344,0.0727313,0.0738966,0.0750296,0.0761298,0.0771966,0.0782299,0.0792294,0.0801952,0.0811272,0.0820258,0.0828911,0.0837236,0.0845237,0.085292,0.086029,0.0867355,0.087412,0.0880595,0.0886786,0.0892701,0.089835,0.090374,0.090888,0.0913779,0.0918445,0.0922887,0.0927113,0.0931132,0.0934952,0.0938582,0.094203,0.0945302,0.0948408,0.0951354,0.0954148,0.0956796,0.0959306,0.0961684,0.0963936,0.0966069,0.0968087,0.0969998,0.0971806,0.0973516,0.0975134,0.0976663,0.0978109,0.0979477,0.0980769,0.098199,0.0983144,0.0984234,0.0985263,0.0986236,0.0987154,0.0988022,0.0988841,0.0989614,0.0990344,0.0991033,0.0991683,0.0992297,0.0992876,0.0993422,0.0993938,0.0994425,0.0994884,0.0995317,0.0995726,0.0996111,0.0996475,0.0996818,0.0997142,0.0997447,0.0997735,0.0998006,0.0998262,0.0998503,0.0998731,0.0998946,0.0999148,0.0999339,0.0999519,0.0999689,
# time, u-field
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.01,3.34865e-06,1.02503e-05,1.75681e-05,2.53271e-05,3.35534e-05,4.2275e-05,5.15212e-05,6.13232e-05,7.17139e-05,8.27281e-05,9.44027e-05,0.000106777,0.000119891,0.000133788,0.000148516,0.000164121,0.000180655,0.000198171,0.000216727,0.000236381,0.000257196,0.000279239,0.000302578,0.000327287,0.000353439,0.000381116,0.0004104,0.000441377,0.000474137,0.000508771,0.000545376,0.000584049,0.000624889,0.000667999,0.000713479,0.000761431,0.000811953,0.000865142,0.000921087,0.000979871,0.00104157,0.00110623,0.00117391,0.00124463,0.00131839,0.00139515,0.00147486,0.00155744,0.00164275,0.00173063,0.00182088,0.00191326,0.00200752,0.00210334,0.00220041,0.0022984,0.00239695,0.0024957,0.00259432,0.00269244,0.00278975,0.00288593,0.0029807,0.00307372,0.00316523,0.00325719,0.00335103,0.00344646,0.00354343,0.00364184,0.00374156,0.00384249,0.00394448,0.0040474,0.00415107,0.00425532,0.00435998,0.00446483,0.00456966,0.00467425,0.00477834,0.00488169,0.00498401,0.00508503,0.00518444,0.00528193,0.00537717,0.00546982,0.00555954,0.00564594,0.00572866,0.0058073,0.00588144,0.00595067,0.00601452,0.00607252,0.00612415,0.00616883,0.00620589,0.00623451,0.00625365,0.00626172,0.00625685,0.00624024,0.00621378,0.00617862,0.00613561,0.00608545,0.00602875,0.00596604,0.00589781,0.00582453,0.00574662,0.00566451,0.00557859,0.00548925,0.00539686,0.00530178,0.00520436,0.00510492,0.00500379,0.00490128,0.00479766,0.00469323,0.00458824,0.00448295,0.00437759,0.00427237,0.00416752,0.00406321,0.00395963,0.00385695,0.00375531,0.00365486,0.00355571,0.003458,0.00336179,0.0032674,0.0031733,0.00307751,0.00297988,0.00288072,0.00278035,0.00267909,0.00257728,0.0024753,0.0023735,0.00227226,0.00217193,0.00207289,0.00197545,0.00187993,0.0017866,0.00169572,0.00160748,0.00152206,0.00143959,0.00136016,0.00128384,0.00121064,0.00114058,0.00107363,0.00100974,0.000948858,0.000890905,0.000835799,0.000783445,0.000733746,0.000686601,0.000641905,0.000599554,0.000559445,0.000521474,0.000485542,0.000451549,0.000419402,0.000389007,0.000360277,0.000333125,0.000307469,0.000283233,0.00026034,0.000238719,0.000218302,0.000199025,0.000180826,0.000163646,0.00014743,0.000132125,0.000117681,0.00010405,9.11879e-05,7.90519e-05,6.76016e-05,5.67989e-05,4.66077e-05,3.69939e-05,2.79252e-05,1.9371e-05,1.13025e-05,3.69238e-06,
0.02,8.88888e-06,2.7208e-05,4.66331e-05,6.72302e-05,8.90695e-05,0.000112225,0.000136775,0.000162802,0.000190395,0.000219645,0.000250651,0.000283515,0.000318348,0.000355263,0.000394383,0.000435835,0.000479753,0.000526279,0.000575559,0.00062775,0.000683012,0.000741514,0.000803432,0.000868945,0.000938239,0.00101151,0.00108894,0.00117073,0.00125708,0.00134817,0.00144418,0.0015453,0.00165166,0.00176342,0.00188066,0.00200347,0.00213187,0.00226584,0.00240529,0.00255009,0.00270003,0.00285482,0.00301411,0.00317748,0.00334444,0.00351445,0.00368694,0.00386127,0.00403682,0.00421294,0.00438899,0.00456437,0.00473848,0.00491077,0.00508074,0.00524792,0.0054119,0.00557231,0.00572885,0.00588125,0.00602928,0.00617277,0.00631161,0.00644555,0.00657531,0.00670487,0.00683696,0.00697096,0.00710687,0.00724456,0.00738393,0.00752483,0.00766712,0.00781062,0.00795517,0.00810057,0.0082466,0.00839303,0.0085396,0.00868606,0.00883211,0.00897744,0.00912172,0.0092646,0.00940572,0.00954467,0.00968106,0.00981444,0.00994436,0.0100704,0.0101919,0.0103085,0.0104194,0.0105257,0.0106158,0.0106907,0.0107606,0.0108227,0.010876,0.0109193,0.0109504,0.010966,0.010959,0.0109332,0.0108944,0.0108449,0.0107861,0.0107207,0.0106403,0.0105441,0.0104422,0.0103337,0.0102195,0.0101,0.00997588,0.00984761,0.00971567,0.00958053,0.00944263,0.00930239,0.00916021,0.00901646,0.00887152,0.0087257,0.00857934,0.00843273,0.00828615,0.00813985,0.00799408,0.00784906,0.00770499,0.00756207,0.00742045,0.00728031,0.00714177,0.00700499,0.00686997,0.00673739,0.00660433,0.00646676,0.00632409,0.00617653,0.00602421,0.00586734,0.00570613,0.00554089,0.00537193,0.00519965,0.00502448,0.00484691,0.00466748,0.00448677,0.00430539,0.00412399,0.00394324,0.00376381,0.00358634,0.00341148,0.00323984,0.00307196,0.00290834,0.00274941,0.00259552,0.00244695,0.00230391,0.00216654,0.00203492,0.00190904,0.00178889,0.00167438,0.0015654,0.00146181,0.00136345,0.00127014,0.00118168,0.00109789,0.00101857,0.000943507,0.000872513,0.00080539,0.000741947,0.000682,0.000625369,0.000571883,0.000521376,0.000473689,0.000428672,0.000386181,0.000346077,0.000308231,0.000272518,0.000238821,0.000207028,0.000177034,0.000148739,0.000122047,9.68686e-05,7.31198e-05,5.072e-05,2.95933e-05,9.66813e-06,
0.03,1.64173e-05,5.02507e-05,8.61278e-05,0.000124171,0.00016451,0.00020728,0.000252629,0.000300707,0.000351677,0.00040571,0.000462986,0.000523695,0.000588036,0.00065622,0.000728467,0.000805009,0.000886087,0.000971953,0.00106287,0.0011591,0.00126093,0.00136865,0.00148253,0.00160286,0.00172994,0.00186404,0.00200541,0.0021543,0.00231093,0.00247546,0.00264802,0.00282867,0.00301739,0.0032141,0.00341859,0.00363058,0.00384966,0.00407533,0.00430698,0.00454389,0.00478527,0.00503027,0.00527797,0.00552745,0.00577777,0.00602801,0.00627728,0.00652472,0.00676957,0.00701108,0.00724863,0.00748164,0.0077096,0.0079321,0.00814878,0.00835936,0.00856361,0.00876136,0.00895249,0.00913694,0.00931467,0.00948569,0.00965004,0.00980764,0.00995948,0.0101108,0.0102653,0.010422,0.0105809,0.010742,0.0109052,0.0110703,0.0112372,0.0114056,0.0115756,0.0117467,0.0119189,0.0120919,0.0122653,0.012439,0.0126126,0.0127858,0.0129582,0.0131295,0.0132986,0.0134692,0.0136184,0.013748,0.0138798,0.0140084,0.0141342,0.0142562,0.0143737,0.014486,0.0145921,0.0146911,0.014782,0.0148635,0.0149344,0.0149927,0.015036,0.0150601,0.0150529,0.0150192,0.0149689,0.0149049,0.0148295,0.0147441,0.0146501,0.0145487,0.0144408,0.0143274,0.0142092,0.0140871,0.0139612,0.0138363,0.0136919,0.0135261,0.013361,0.013193,0.0130233,0.0128521,0.01268,0.0125072,0.0123342,0.0121612,0.0119885,0.0118165,0.0116453,0.0114752,0.0113064,0.0111391,0.0109734,0.0108096,0.0106477,0.010488,0.0103302,0.0101755,0.0100199,0.00985816,0.00968936,0.00951358,0.00933078,0.00914097,0.00894417,0.00874048,0.00853002,0.00831298,0.00808961,0.00786021,0.00762517,0.00738494,0.00714005,0.00689112,0.00663882,0.00638394,0.00612728,0.00586975,0.00561228,0.00535583,0.00510137,0.00484987,0.00460225,0.00435941,0.00412213,0.00389113,0.00366704,0.00345034,0.00324143,0.00304059,0.00284799,0.00266372,0.00248776,0.00232004,0.00216043,0.00200873,0.00186472,0.00172815,0.00159874,0.0014762,0.00136025,0.00125058,0.0011469,0.00104892,0.000956354,0.000868929,0.000786378,0.000708444,0.000634879,0.000565451,0.000499932,0.000438111,0.000379782,0.000324755,0.000272844,0.000223876,0.000177688,0.000134123,9.30335e-05,5.42812e-05,1.77341e-05,
0.04,2.53099e-05,7.74687e-05,0.000132779,0.00019143,0.00025362,0.000319561,0.000389476,0.0004636,0.000542182,0.000625482,0.000713778,0.000807357,0.000906524,0.0010116,0.0011229,0.00124079,0.00136562,0.00149775,0.00163755,0.00178541,0.00194171,0.00210681,0.00228109,0.00246487,0.00265848,0.00286218,0.00307618,0.00330062,0.00353556,0.00378095,0.00403661,0.00430224,0.00457741,0.00486152,0.00515384,0.00545349,0.00575949,0.00607075,0.0063861,0.00670432,0.00702418,0.00734445,0.00766396,0.00798157,0.00829622,0.00860695,0.00891289,0.00921325,0.00950737,0.00979468,0.0100747,0.0103471,0.0106114,0.0108676,0.0111155,0.0113548,0.0115858,0.0118082,0.0120222,0.0122278,0.0124253,0.0126146,0.012796,0.0129695,0.0131363,0.0133025,0.0134723,0.0136445,0.0138195,0.0139969,0.0141768,0.014359,0.0145434,0.0147298,0.014918,0.0151079,0.0152992,0.0154916,0.015685,0.0158782,0.0160763,0.0162508,0.0164039,0.0165632,0.0167219,0.0168808,0.017039,0.0171959,0.017351,0.0175034,0.0176524,0.0177971,0.0179367,0.0180703,0.0181968,0.0183151,0.0184241,0.0185223,0.018608,0.0186793,0.0187332,0.0187649,0.0187579,0.0187172,0.018657,0.0185807,0.0184909,0.0183894,0.018278,0.0181579,0.0180303,0.0178962,0.0177567,0.0176127,0.0174649,0.0173143,0.0171615,0.0170071,0.0168523,0.016696,0.0165452,0.0163727,0.0161764,0.0159843,0.0157914,0.015599,0.0154073,0.0152165,0.0150269,0.0148388,0.0146524,0.0144678,0.0142852,0.0141048,0.0139267,0.013751,0.0135777,0.0134078,0.013237,0.0130589,0.0128726,0.0126779,0.0124749,0.0122632,0.0120427,0.0118135,0.0115755,0.0113286,0.0110729,0.0108086,0.0105357,0.0102546,0.00996557,0.00966903,0.0093655,0.00905559,0.00874003,0.00841964,0.00809535,0.00776819,0.00743927,0.00710979,0.00678098,0.00645413,0.00613051,0.00581137,0.00549791,0.00519124,0.00489234,0.0046021,0.00432123,0.00405031,0.00378974,0.00353982,0.00330068,0.00307234,0.00285472,0.00264766,0.00245093,0.00226422,0.00208722,0.00191957,0.00176088,0.00161077,0.00146886,0.00133474,0.00120805,0.00108839,0.00097542,0.000868778,0.000768129,0.000673149,0.000583532,0.000498981,0.000419219,0.000343979,0.00027301,0.000206072,0.00014294,8.3399e-05,2.72475e-05,
0.05,3.53958e-05,0.000108338,0.00018569,0.000267713,0.000354687,0.000446906,0.000544682,0.000648342,0.000758231,0.000874712,0.000998165,0.00112899,0.0012676,0.00141443,0.00156992,0.00173452,0.00190872,0.00209297,0.00228775,0.00249351,0.0027107,0.00293972,0.00318093,0.00343465,0.00370108,0.00398035,0.00427246,0.00457727,0.00489446,0.00522357,0.00556392,0.00591466,0.00627478,0.00664308,0.00701823,0.0073988,0.0077833,0.00817019,0.00855795,0.00894509,0.00933019,0.00971193,0.0100891,0.0104606,0.0108254,0.0111828,0.0115319,0.0118723,0.0122034,0.0125249,0.0128365,0.013138,0.0134293,0.0137104,0.0139812,0.0142419,0.0144926,0.0147334,0.0149645,0.015186,0.0153983,0.0156015,0.015796,0.0159817,0.01616,0.0163378,0.0165196,0.0167042,0.0168918,0.0170823,0.0172756,0.0174716,0.0176702,0.0178711,0.0180745,0.0182789,0.0184905,0.0186771,0.018841,0.0190141,0.0191883,0.019365,0.0195433,0.0197229,0.0199031,0.0200833,0.0202629,0.0204412,0.0206174,0.0207907,0.0209602,0.021125,0.0212842,0.0214366,0.0215812,0.0217166,0.0218416,0.0219546,0.0220537,0.0221365,0.0221998,0.0222386,0.0222319,0.0221849,0.022116,0.0220286,0.021926,0.0218104,0.0216835,0.0215469,0.0214019,0.0212496,0.0210913,0.0209278,0.0207603,0.0205895,0.0204164,0.0202417,0.0200661,0.0198903,0.0197149,0.0195405,0.0193679,0.0191958,0.0190323,0.0188457,0.0186337,0.0184283,0.0182236,0.0180208,0.01782,0.0176215,0.0174254,0.0172317,0.0170408,0.0168526,0.016667,0.0164853,0.0163027,0.0161121,0.0159123,0.0157034,0.015485,0.0152569,0.0150188,0.0147706,0.0145121,0.0142431,0.0139635,0.0136733,0.0133725,0.013061,0.0127391,0.0124069,0.0120648,0.0117131,0.0113525,0.0109834,0.0106067,0.0102234,0.00983433,0.0094408,0.00904406,0.00864552,0.00824667,0.00784908,0.00745432,0.00706399,0.00667963,0.0063027,0.00593453,0.00557631,0.00522907,0.00489362,0.00457059,0.00426044,0.00396343,0.00367966,0.00340909,0.00315157,0.00290684,0.00267457,0.00245436,0.00224579,0.0020484,0.0018617,0.00168521,0.00151846,0.00136095,0.00121223,0.00107183,0.000939325,0.000814284,0.000696306,0.000585004,0.00048001,0.000380974,0.000287564,0.000199465,0.000116378,3.80226e-05,
0.06,4.6329e-05,0.000141802,0.000243045,0.000350404,0.000464243,0.000584947,0.00071292,0.00084859,0.000992404,0.00114483,0.00130636,0.00147751,0.00165879,0.00185076,0.00205396,0.00226897,0.00249633,0.00273659,0.00299029,0.00325791,0.0035399,0.0038366,0.0041483,0.00447513,0.0048171,0.00517402,0.00554552,0.00593101,0.00632968,0.00674049,0.00716218,0.00759331,0.00803227,0.00847732,0.00892666,0.00937846,0.00983089,0.0102822,0.0107307,0.0111749,0.0116133,0.0120447,0.012468,0.0128822,0.0132865,0.0136804,0.0140632,0.0144347,0.0147944,0.0151423,0.0154783,0.0158023,0.0161144,0.0164147,0.0167034,0.0169808,0.0172469,0.0175021,0.0177466,0.0179808,0.018205,0.0184193,0.0186243,0.01882,0.0190077,0.019195,0.0193867,0.0195815,0.0197796,0.019981,0.0201856,0.0203932,0.020604,0.0208164,0.021037,0.0212333,0.0214072,0.0215916,0.0217781,0.0219682,0.0221612,0.0223566,0.0225539,0.0227527,0.0229522,0.0231518,0.0233507,0.0235483,0.0237436,0.0239358,0.0241239,0.0243069,0.0244837,0.0246532,0.0248141,0.0249651,0.0251046,0.0252309,0.025342,0.0254354,0.0255072,0.0255526,0.0255461,0.0254933,0.0254163,0.0253188,0.0252047,0.0250761,0.0249352,0.0247836,0.0246227,0.0244539,0.0242785,0.0240975,0.023912,0.0237231,0.0235315,0.0233382,0.0231441,0.0229497,0.0227558,0.0225631,0.0223721,0.0221832,0.0219975,0.0218131,0.0216389,0.0214417,0.0212197,0.0210054,0.0207924,0.0205822,0.0203746,0.02017,0.0199683,0.0197698,0.0195742,0.0193828,0.0191905,0.0189897,0.0187792,0.0185588,0.0183282,0.0180871,0.0178351,0.017572,0.0172975,0.0170112,0.0167131,0.0164029,0.0160804,0.0157455,0.0153981,0.0150384,0.0146664,0.0142823,0.0138864,0.0134792,0.0130612,0.0126331,0.0121959,0.0117504,0.0112979,0.0108398,0.0103776,0.0099128,0.0094473,0.00898292,0.00852156,0.00806511,0.00761544,0.00717431,0.00674335,0.00632401,0.00591752,0.00552489,0.00514689,0.00478406,0.00443673,0.00410501,0.00378885,0.00348807,0.00320235,0.0029313,0.00267443,0.00243124,0.00220115,0.00198362,0.00177805,0.00158387,0.00140051,0.00122742,0.00106406,0.000909909,0.000764472,0.000627271,0.000497853,0.000375785,0.000260658,0.000152081,4.96877e-05,
0.07,5.83991e-05,0.000178744,0.000306364,0.000441693,0.000585189,0.000737336,0.000898641,0.00106964,0.00125089,0.00144297,0.00164649,0.00186207,0.00209035,0.00233198,0.00258763,0.00285792,0.00314349,0.00344493,0.00376278,0.00409749,0.00444941,0.00481877,0.0052056,0.00560977,0.0060309,0.00646837,0.00692129,0.00738849,0.00786856,0.00835983,0.00886044,0.00936839,0.00988157,0.0103978,0.010915,0.011431,0.011944,0.012452,0.0129535,0.0134469,0.013931,0.0144046,0.0148669,0.0153171,0.0157546,0.016179,0.01659,0.0169873,0.017371,0.0177409,0.0180973,0.0184401,0.0187697,0.0190863,0.0193902,0.0196816,0.0199609,0.0202285,0.0204847,0.0207298,0.0209643,0.0211884,0.0214027,0.0216072,0.0218034,0.0219992,0.0221998,0.0224038,0.0226115,0.0228231,0.0230369,0.0232603,0.0234582,0.0236328,0.0238197,0.0240096,0.0242046,0.0244038,0.024607,0.0248139,0.0250239,0.0252366,0.0254515,0.0256679,0.0258852,0.0261026,0.0263194,0.0265347,0.0267477,0.0269573,0.0271626,0.0273623,0.0275555,0.0277407,0.0279167,0.028082,0.0282349,0.0283736,0.0284959,0.0285991,0.0286789,0.0287305,0.0287244,0.0286662,0.0285818,0.0284752,0.0283504,0.02821,0.0280561,0.0278907,0.0277153,0.0275314,0.0273402,0.0271431,0.0269411,0.0267354,0.0265269,0.0263166,0.0261053,0.0258939,0.0256831,0.0254735,0.0252658,0.0250605,0.0248582,0.0246593,0.0244641,0.0242734,0.0240854,0.0239092,0.0237092,0.0234831,0.0232662,0.0230513,0.0228399,0.022632,0.0224273,0.0222272,0.0220263,0.0218165,0.0215964,0.021366,0.0211248,0.0208723,0.0206084,0.0203325,0.0200443,0.0197434,0.0194296,0.0191025,0.0187618,0.0184072,0.0180387,0.0176559,0.017259,0.0168478,0.0164224,0.0159833,0.0155305,0.0150647,0.0145866,0.0140968,0.0135964,0.0130867,0.012569,0.0120448,0.011516,0.0109845,0.0104524,0.00992178,0.00939496,0.00887416,0.00836153,0.00785913,0.00736882,0.00689226,0.00643084,0.00598567,0.00555759,0.00514715,0.00475467,0.00438021,0.00402367,0.00368476,0.0033631,0.00305816,0.00276937,0.00249612,0.00223774,0.00199356,0.0017629,0.00154511,0.00133952,0.00114549,0.000962414,0.000789696,0.000626769,0.000473093,0.000328154,0.000191462,6.25544e-05,
0.08,7.12153e-05,0.000217971,0.000373597,0.000538624,0.000713608,0.000899138,0.00109583,0.00130432,0.00152529,0.00175944,0.00200747,0.00227014,0.00254817,0.00284233,0.00315334,0.0034819,0.00382867,0.00419423,0.00457907,0.00498352,0.00540776,0.00585175,0.00631521,0.00679757,0.00729797,0.00781523,0.00834786,0.00889408,0.00945184,0.0100189,0.0105929,0.0111713,0.0117517,0.0123317,0.0129089,0.0134812,0.0140467,0.0146036,0.0151503,0.0156855,0.0162082,0.0167174,0.0172124,0.0176927,0.0181578,0.0186077,0.0190421,0.0194611,0.0198647,0.0202531,0.0206265,0.0209853,0.0213296,0.0216599,0.0219766,0.0222801,0.0225707,0.0228489,0.0231152,0.0233698,0.0236133,0.0238461,0.0240685,0.0242808,0.0244845,0.024688,0.0248965,0.0251091,0.0253244,0.02555,0.0257499,0.0259265,0.0261162,0.0263097,0.0265091,0.0267136,0.0269232,0.0271374,0.0273559,0.0275784,0.0278043,0.0280331,0.0282643,0.0284972,0.028731,0.028965,0.0291985,0.0294303,0.0296597,0.0298856,0.0301068,0.0303222,0.0305305,0.0307304,0.0309204,0.031099,0.0312645,0.0314147,0.0315475,0.0316597,0.0317469,0.0318044,0.0317988,0.0317355,0.0316442,0.0315289,0.0313941,0.0312427,0.0310768,0.0308985,0.0307095,0.0305115,0.0303057,0.0300935,0.0298762,0.0296548,0.0294306,0.0292044,0.0289772,0.0287499,0.0285232,0.0282979,0.0280747,0.0278541,0.0276366,0.0274229,0.0272132,0.027008,0.0268075,0.0266124,0.0264207,0.026242,0.0260393,0.0258102,0.0255911,0.0253745,0.0251617,0.0249539,0.0247453,0.0245275,0.0242991,0.0240598,0.0238093,0.0235471,0.0232727,0.0229858,0.022686,0.0223727,0.0220455,0.0217041,0.0213481,0.020977,0.0205906,0.0201887,0.0197708,0.019337,0.0188872,0.0184213,0.0179396,0.0174422,0.0169297,0.0164026,0.0158618,0.0153081,0.0147429,0.0141675,0.0135836,0.0129931,0.0123981,0.0118008,0.0112038,0.0106096,0.0100207,0.00943969,0.008869,0.0083109,0.00776745,0.00724039,0.00673116,0.00624089,0.00577035,0.00532003,0.00489012,0.00448059,0.00409118,0.00372148,0.00337096,0.00303898,0.00272484,0.0024278,0.0021471,0.00188197,0.00163163,0.00139534,0.00117236,0.000961974,0.000763509,0.000576309,0.000399748,0.000233234,7.62024e-05,
0.09,8.46495e-05,0.000259088,0.000444072,0.000640228,0.000848217,0.00106873,0.0013025,0.00155028,0.00181286,0.00209105,0.00238567,0.00269757,0.00302758,0.00337652,0.00374519,0.0041343,0.0045445,0.00497629,0.00543003,0.00590587,0.00640369,0.0069231,0.00746337,0.00802343,0.00860184,0.0091968,0.00980619,0.0104276,0.0110585,0.011696,0.0123374,0.0129799,0.0136208,0.0142575,0.0148878,0.0155095,0.0161207,0.0167199,0.0173056,0.0178767,0.0184324,0.0189719,0.0194948,0.0200007,0.0204894,0.020961,0.0214154,0.0218528,0.0222734,0.0226776,0.0230657,0.0234381,0.0237952,0.0241374,0.0244653,0.0247793,0.0250798,0.0253674,0.0256426,0.0259057,0.0261572,0.0263977,0.0266275,0.0268469,0.0270574,0.0272678,0.0274839,0.0277028,0.0279322,0.0281371,0.0283193,0.0285153,0.0287154,0.0289221,0.0291344,0.0293524,0.0295757,0.029804,0.0300369,0.030274,0.0305149,0.0307588,0.0310053,0.0312536,0.031503,0.0317526,0.0320017,0.0322491,0.0324939,0.032735,0.0329712,0.0332012,0.0334238,0.0336375,0.0338408,0.0340319,0.0342091,0.0343702,0.0345127,0.0346335,0.0347277,0.0347906,0.0347855,0.0347173,0.0346195,0.0344961,0.0343519,0.03419,0.0340128,0.0338224,0.0336206,0.0334092,0.0331897,0.0329633,0.0327316,0.0324956,0.0322565,0.0320154,0.0317732,0.0315309,0.0312894,0.0310493,0.0308115,0.0305764,0.0303448,0.0301171,0.0298938,0.0296752,0.0294617,0.0292535,0.0290514,0.0288532,0.0286684,0.0284603,0.028227,0.028004,0.0277835,0.0275687,0.0273532,0.0271282,0.0268922,0.026645,0.0263862,0.0261153,0.0258318,0.0255352,0.0252251,0.0249009,0.0245622,0.0242085,0.0238392,0.023454,0.0230523,0.0226339,0.0221983,0.0217452,0.0212744,0.0207859,0.0202795,0.0197553,0.0192135,0.0186546,0.018079,0.0174876,0.0168814,0.0162615,0.0156295,0.0149872,0.0143365,0.0136797,0.0130193,0.0123581,0.0116988,0.0110444,0.0103978,0.00976178,0.00913901,0.0085319,0.00794254,0.00737268,0.00682366,0.00629649,0.00579179,0.00530985,0.00485067,0.00441403,0.0039995,0.00360648,0.00323427,0.00288211,0.00254915,0.00223454,0.00193742,0.0016569,0.00139216,0.00114235,0.000906684,0.000684382,0.000474713,0.000276972,9.04931e-05,
